,Team1,Team2,Spread1,Spread2,Win1,Win2,Total1,Total2
0,11/30/23,Total,+220,-300,+800,-1800,-360,+255
1,Into The Breach,Red Canids,+190,-260,-154,+118,-110,-120
2,BIG,Zero Tenacity,-135,+105,-525,+330,+140,-185
3,9 Pandas,Legacy,+105,-135,-350,+250,+120,-155
4,Guild Esports,Team Vertex,-120,-110,-525,+330,+130,-170
5,Anonymo,Sprout,-285,+210,+110,-148,-120,-110
6,Team Space,sAw,-190,+145,+180,-240,-130,+100
7,Alternate Attax,paiN Gaming,-260,+190,+125,-165,-120,-110
8,11/30/23,Total,+190,-260,-155,+120,-125,-105
9,ECSTATIC,Guild Esports,+220,-300,-135,+105,-105,-125
10,11/30/23,Total,-325,+230,-105,-125,NaN,NaN
11,Legacy,TSM,-220,+165,+145,-190,-130,+100
12,Sprout,Zero Tenacity,+170,-225,-185,+142,+100,-130
