,Win1_Team,Win2_Team,Win1_Decimal,Win2_Decimal,Win1_Probability,Win2_Probability,Win1_Ev,Win2_Ev,Win1_Site,Win2_Site,Date_Time
0,AEGIS,GameWard,2.5,1.53,38,62,-5.0,-5.14,ESPNBet,ESPNBet,16:00
1,AEGIS,Vitality.Bee,3.9,1.234,25,75,-3.29,-7.2,ESPNBet,Pinnacle,20:00
2,AOE Esports,Disguised,4.38,1.187,21,79,-5.85,-6.81,Pinnacle,Pinnacle,14:00
3,AOE Esports,Winthrop University,2.66,1.442,35,65,-6.6,-6.43,Pinnacle,Pinnacle,16:00
4,AOMA Esports,Dynasty,1.8,2.04,53,47,-4.34,-4.42,Bovada,Pinnacle,Jul 04 17:00
5,AOMA Esports,SNOOZE Esports,1.571,2.31,60,40,-6.4,-6.63,Pinnacle,Pinnacle,20:00
6,Anubis Gaming,Twisted Minds,2.85,1.38,32,68,-7.52,-6.78,Pinnacle,Thunderpick,18:00
7,Atleta Esport,Axolotl,1.019,16.87,94,6,-4.06,-1.4,Pinnacle,Rivalry,10:00
8,Atleta Esport,EKO Academy,1.52,2.81,65,35,-1.89,-0.38,Thunderpick,Pinnacle,17:00
9,Austrian Force,Eintracht Frankfurt,1.505,2.46,62,38,-7.42,-5.33,Pinnacle,Pinnacle,17:00
10,Austrian Force,Eintracht Spandau,2.35,1.59,41,59,-4.68,-5.49,ESPNBet,Bovada,Jul 04 17:00
11,Axolotl,Dsyre,18.79,1.015,5,95,-1.82,-3.8,Rivalry,Pinnacle,10:00
12,BIG,E WIE EINFACH,1.71,2.16,56,44,-4.27,-4.92,ESPNBet,Pinnacle,Jul 04 16:00
13,BIG,Eintracht Spandau,3.2,1.403,32,68,1.18,-4.06,Thunderpick,Pinnacle,18:00
14,BK ROG Esports,Karmine Corp Blue,2.7,1.45,35,65,-5.33,-5.84,Thunderpick,ESPNBet,19:00
15,BK ROG Esports,Team BDS Academy,2.8,1.42,33,67,-6.56,-5.39,Thunderpick,ESPNBet,17:00
16,BNK FearX,KT Rolster,3.65,1.254,26,74,-6.66,-6.67,Pinnacle,Pinnacle,00:00
17,BRION,Nongshim RedForce,2.05,1.74,46,54,-5.55,-6.17,ESPNBet,ESPNBet,08:30
